item_name,bin_type
pillow,garbage bin
pine cone,green bin
pizza box,yellow bin
plastic auto part,garbage bin
plastic baby wipe box,blue bin
plastic beverage container,blue bin
plastic beverage cup lid,blue bin
plastic bottle cap,blue bin
plastic bottle handle,garbage bin
plastic bottle,blue bin
beverage container,blue bin
beverage cup lid,blue bin
bottle cap,blue bin
bottle handle,garbage bin
plastic bubble envelope,garbage bin
plastic cooler,garbage bin
plastic cutlery,blue bin
plastic deodorant container,garbage bin
plastic drinking straw,blue bin
stir stick,blue bin
plastic flower pot,blue bin
plant tray,blue bin
plastic garbage bin,garbage bin
plastic garden soil,garbage bin
mulch bag,garbage bin
shopping bag,garbage bin
plastic jewel case,garbage bin
plastic lawn edging,garbage bin
plastic meat tray,garbage bin
plastic newspaper,garbage bin
flyer wrap,garbage bin
plastic overwrap packaging,garbage bin
plastic pails,garbage bin
plastic paint can,garbage bin
plastic pallet,garbage bin
plastic pet carrier,garbage bin
plastic plate,garbage bin
plastic reusable shopping bag,garbage bin
plastic rice,garbage bin
grain bag,garbage bin
plastic shelving unit,garbage bin
plastic storage container,garbage bin
plastic take-out container,blue bin
plastic tub,blue bin
plastic wrap,garbage bin
plexiglass sheet,garbage bin
pool chemical,garbage bin
banana peel,green bin
pot,garbage bin
pan,garbage bin
power cord,garbage bin
charger,garbage bin
cable,garbage bin
power tool,garbage bin
prescription medicine bottle,blue bin
printer cartridge,garbage bin
products with warning label,garbage bin
pumpkin,green bin
pvc pipe,garbage bin
zipper type plastic storage bag,garbage bin
yogurt container,blue bin
x-rays,garbage bin
wooden fruit box,garbage bin
wood pallet,garbage bin
wine cork,garbage bin
windshield wiper blade,garbage bin
waxed cardboard box,garbage bin
vinyl record,garbage bin
vape pen,garbage bin
vacuum cleaner content,garbage bin
used shotgun shell,garbage bin
used paper towel,green bin
used napkin,green bin
used firework,garbage bin
umbrella,garbage bin
plastic clip,garbage bin
tupperware,garbage bin
tree branch,green bin
transparent recycling bag,garbage bin
toy,garbage bin
puzzle,garbage bin
game,garbage bin
tissue paper,yellow bin
tin container,blue bin
thermal paper,garbage bin
tetra pak carton,blue bin
tetra pak beverage carton,blue bin
tent,garbage bin
telephone book,yellow bin
directory,yellow bin
notepad,yellow bin
tassimo coffee disc,blue bin
suitcase,garbage bin
styrofoam packaging peanuts,garbage bin
styrofoam packaging insert,garbage bin
styrofoam container,garbage bin
stroller,garbage bin
other baby gear,garbage bin
stretchable plastic bag,garbage bin
crinkly plastic bags,garbage bin
sticky note,yellow bin
squishy foam packaging,garbage bin
sporting good,garbage bin
soil,green bin
dirt,green bin
soft plastic tube,blue bin
snack food bag,garbage bin
wrapper,garbage bin
single-layer plastic envelope,garbage bin
silica gel packet,garbage bin
shredded paper document,yellow bin
shoe box,yellow bin
broken glass,garbage bin
seagrass,green bin
seaweed,green bin
kelp,green bin
sawdust,green bin
wood shavings,green bin
sand,green bin
salt and water softener plastic bags,garbage bin
rubber mulch,garbage bin
rock salt,garbage bin
rigid plastic container,blue bin
razor,garbage bin
